Filtering the log data using "process == "GestioneViaggi""
Timestamp                       (process)[PID]    
2025-12-23 19:06:03.478647+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf12c0] activating connection: mach=false listener=false peer=false name=com.apple.ViewBridgeAuxiliary
2025-12-23 19:06:03.478654+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneWindowingControlClientSettings on FBSSceneClientSettings
2025-12-23 19:06:03.478717+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension ___UISceneHostingContentSizePreferenceClientSettings__ on FBSSceneClientSettings
2025-12-23 19:06:03.478768+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneHostingTraitCollectionPropagationSettings on FBSSceneSettings
2025-12-23 19:06:03.478873+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension ___UISceneHostingSheetPresentationSettings__ on FBSSceneSettings
2025-12-23 19:06:03.478925+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension ___UISceneHostingSheetPresentationClientSettings__ on FBSSceneClientSettings
2025-12-23 19:06:03.479003+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension __UIKit__UITypedKeyValueSceneSettings__ on FBSSceneSettings
2025-12-23 19:06:03.479046+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension __UIKit__UITypedKeyValueSceneSettings__ on FBSSceneClientSettings
2025-12-23 19:06:03.479092+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension ___UISceneHostingViewControllerPreferencePropagationClientSettings__ on FBSSceneClientSettings
2025-12-23 19:06:03.479138+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension ___UISceneZoomTransitionSettings__ on FBSSceneSettings
2025-12-23 19:06:03.486681+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf1180] activating connection: mach=false listener=false peer=false name=(anonymous)
2025-12-23 19:06:03.486775+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf1400] activating connection: mach=false listener=true peer=false name=(anonymous)
2025-12-23 19:06:03.486782+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf1400] Connection returned listener port: 0x9303
